,Clinic Name,Distance and Status,Address,Location,Contact Info
770,Lee & Koh Family Clinic,12.86 km - Closing in 1 hr 24 min,359 Bukit Batok St 31 #01-389,Singapore 650359,T +65 6665 3323
771,First Care Family Clinic & Surgery,12.86 km - Closed,253 Jurong East St 24 #01-257,Singapore 600253,T +65 6425 2350
772,DA Clinic @ Bukit Batok,12.88 km - Closing in 6 hr 24 min,Blk 451 Bukit Batok West Avenue 6 ##01-02,Singapore 650451,T +65 6954 1012
773,True Medical Clinic Bedok South,12.9 km - Closed,"158, Bedok South Ave 3 #01-587",Singapore 460158,T +65 6904 2029
774,Heartland Health (Upper Changi),12.91 km - Closing in 8 hr 24 min,59 New Upper Changi Road #01-1268,Singapore 461059,T +65 6445 3100
775,Clinic Faridah,12.91 km - Closing in 2 hr 54 min,59 New Upper Changi Road #01-1230,Singapore 461059,T +65 6442 7480
776,New Town Clinic,12.91 km - Closed,59 New Upper Changi Road #01-1224,Singapore 461059,T +65 6443 1784
777,Island Family Clinic (Bedok),12.94 km - Closed,763 Bedok Reservoir View #01-283,Singapore 470763,T +65 6243 5871
778,St Luke’s Community Clinic (By appointment only),12.95 km - Closing in 2 hr 54 min,2 Bukit Batok Street 11,Singapore 659674,T +65 6895 3230
779,East Coast Medical Centre,12.97 km - Closing in 2 hr 54 min,57A New Upper Changi Road #01-1374,Singapore 462057,T +65 6443 0109
780,Fernvale Family Clinic,12.97 km - Closing in 1 hr 53 min,405C Fernvale Lane #01-101,Singapore 793405,T +65 6875 6182
781,Eon Medical Clinic,12.98 km - Closing in 1 hr 53 min,475 Upper Serangoon Crescent #Multi Storey Car Park #01-04,Singapore 530475,T +65 6384 0904
782,Procross Medical Centre,12.99 km - Closing in 1 hr 53 min,449 Hougang Ave 10 #B1-509,Singapore 530449,T +65 6702 2848
783,Mission (Bukit Batok) Medical Clinic,13.01 km - Closed,395A Bukit Batok West Ave 5 #03-02,Singapore 651395,T +65 6515 0760
784,Oasis Family Clinic,13.02 km - Closing in 8 hr 23 min,56 New Upper Changi Road #01-1322,Singapore 461056,T +65 6448 8055
785,Eastern Clinic and Dental Surgery,13.03 km - Closing in 1 hr 53 min,303 Jurong East St 32 #01-92,Singapore 600303,T +65 6562 2941
786,H L Family Clinic & Surgery (Bedok),13.05 km - Closing in 0 hr 23 min,89 Bedok North St 4 #01-83,Singapore 460089,T +65 6442 0494
787,SP Clinic,13.05 km - Closing in 0 hr 23 min,117 Pending Road #01-224,Singapore 670117,T +65 6766 0286
788,Island Family Clinic (Seletar),13.05 km - Closed,Blk 455 Sengkang West Ave #01-14,Singapore 790455,T +65 6908 8280
789,Suncare Medical Clinic (Sengkang West),13.05 km - Closed,Blk 455 Sengkang West Ave #01-08,Singapore 790455,T +65 6970 6570
790,Keystone Clinic and Surgery,13.09 km - Closing in 6 hr 23 min,Blk 632 Ang Mo Kio Avenue 4 #01-966,Singapore 560632,T +65 6250 7200
791,Holistic Care Family Clinic,13.1 km - Closing in 1 hr 53 min,Blk 455 Sengkang West Avenue #01-10,Singapore 790455,T +65 6513 4757
792,Temasek Clinic & Surgery,13.1 km - Closed,73 Bedok South Ave 3 #01-460,Singapore 460073,T +65 6443 6113
793,Temasek Medical Clinic (Bedok North),13.12 km - Closing in 1 hr 23 min,86 Bedok North St 4 #01-177,Singapore 460086,T +65 6443 0949
794,Pinetree Medical Clinic,13.12 km - Closed,86 Bedok North St 4 #01-175,Singapore 460086,T +65 6679 1149
795,One Wellness Medical @ Compassvale Bow,13.14 km - Closing in 2 hr 23 min,"70 Compassvale Bow, Sengkang Grand Mall #02-06",Singapore 544692,T +65 6904 1671
796,Lifeline Bukit Panjang Medical Clinic,13.14 km - Closing in 1 hr 53 min,103 Gangsa Road #01-37 Bt Panjang Medical Centre,Singapore 670103,T +65 6760 5788
797,Chong & Lim Family Clinic,13.14 km - Closing in 1 hr 23 min,103 Gangsa Road #01-39,Singapore 670103,T +65 6762 6881
798,Q & M Medical Clinic (Buangkok MRT) Pte. Ltd.,13.15 km - Closed,10 Sengkang CentralBuangkok MRT Station #01-02,Singapore 545061,T +65 6242 9133 F +65 6242 9869
799,Distinct Clinic Bukit Batok,13.16 km - Closing in 1 hr 53 min,467 Bukit Batok West Ave 9 #01-09,Singapore 650467,T +65 6980 7781
800,Sterling Family Clinic,13.17 km - Closing in 2 hr 23 min,84 Bedok North St 4 #01-41,Singapore 460084,T +65 6876 1654
801,Famicare Bedok Clinic,13.17 km - Closing in 0 hr 23 min,158 Bedok South Ave 3 #01-581,Singapore 460158,T +65 6442 8373
802,Thai Shen Family Clinic,13.17 km - Closing in 0 hr 23 min,84 Bedok North St 4 #01-65,Singapore 460084,T +65 6444 8134
803,Island Family Clinic (Bukit Batok),13.17 km - Closed,Blk 447 Bukit Batok ##01-05 West Avenue 9,Singapore 650447,T +65 6250 1530 F +65 9003 9246
804,Sunbeam Medical Clinic,13.24 km - Closed,443C Fajar Road #01-73,Singapore 673443,T +65 6610 0968
805,Shenton Medical Group (Buangkok MRT),13.27 km - Closing in 2 hr 53 min,10 Sengkang Central #01-04 Buangkok MRT Station,Singapore 545061,T +65 6315 3671 F +65 6315 8190
806,ProHealth Medical Group @ Fernvale,13.28 km - Closing in 7 hr 23 min,33 Sengkang West Avenue #B1-18 The Seletar Mall,Singapore 797653,T +65 6886 4780
807,DA Clinic @ Taman Jurong,13.28 km - Closing in 6 hr 23 min,Blk 140 Corporation Drive ##01-03,Singapore 610140,T +65 6954 1012
808,RafflesMedical (Seletar Mall),13.28 km - Closing in 2 hr 53 min,33 Sengkang West Avenue #01-54/55/56 The Seletar Mall,Singapore 797653,T +65 6702 6917
809,Etern Medical Clinic & Surgery,13.28 km - Closing in 2 hr 23 min,33 Sengkang West Avenue #03-33 The Seletar Mall,Singapore 797653,T +65 6425 7255
810,Prohealth Medical Group @ Buangkok,13.29 km - Closing in 8 hr 23 min,275D Compassvale Link #01-01 (Unit 12),Singapore 544275,T +65 6481 8066
811,SATA Commhealth Community Hub,13.31 km - Closing in 2 hr 23 min,Blk 447B Jalan Kayu #Fernvale Lodge #01-01,Singapore 792447,T +65 6236 1028 F +65 6244 0360
812,Vitacare Family Clinic@Seletar Pte.Ltd.,13.37 km - Closed,417 Fernvale Link #01-03,Singapore 790417,T +65 6315 1608 F +65 6315 1609
813,Peak Medical West Plains,13.38 km - Closed,467 Bukit Batok West Ave 9 #01-04,Singapore 650467,T +65 6011 6650
814,Prohealth Medical Group @ Hougang,13.39 km - Closing in 8 hr 23 min,476D Upper Serangoon View #02-04,Singapore 537476,T +65 6384 7662
815,Temasek Medical Centre (Bukit Batok West),13.39 km - Closing in 2 hr 23 min,413 Bukit Batok West Ave 4 #01-214,Singapore 650413,T +65 6565 6556
816,Boon Lay Corporation Clinic,13.4 km - Closing in 2 hr 22 min,350 Jurong East Ave 1 #01-1225,Singapore 600350,T +65 6899 4569 F +65 6564 6303
817,Prohealth Medical Group @ LRT Fernvale,13.42 km - Closing in 8 hr 22 min,437 Fernvale Road #01-04 Multi Storey Car Park,Singapore 790437,T +65 6441 1672
818,Onecare Clinic Bukit Batok West,13.42 km - Closed,Blk 440 Bukit Batok West Avenue 8 #01-07 Multi Storey Car Park,Singapore 650440,T +65 6970 8649
819,Frontier Medical Associates,13.42 km - Closed,Blk 451 Bukit Batok West Ave 6 #01-07,Singapore 650451,T +65 6258 3035
820,Onecare Clinic Fernvale,13.47 km - Closed,Blk 417 Fernvale Link ##01-10,Singapore 790417,T +65 6970 9302 F +65 6970 9303
821,Green Cross Medical Centre,13.48 km - Closing in 6 hr 22 min,824 Tampines St 81 #01-30,Singapore 520824,T +65 6781 3022
822,True Medical Clinic Tampines West,13.48 km - Closed,824 Tampines St 81 #01-26,Singapore 520824,T +65 6909 0324
823,OGL Medical Jurong East,13.49 km - Closing in 2 hr 22 min,Blk 353 Jurong East Street 31 ##01-111 Yuhua Place,Singapore 600353,T +65 6909 8767 F +65 9119 0635
824,Fajar Family Clinic & Surgery,13.49 km - Closing in 1 hr 52 min,445 Fajar Road #01-550,Singapore 679445,T +65 6769 0636
825,Healthway Medical Clinic (Fajar),13.49 km - Closing in 1 hr 52 min,445 Fajar Road #02-534 Fajar Shopping Centre,Singapore 670445,T +65 6769 0600 F +65 6769 0900
826,Cashew Medical & Surgery,13.49 km - Closing in 1 hr 22 min,445 Fajar Road #02-522 Fajar Shopping Centre,Singapore 670445,T +65 6763 4255
827,Anchor Health Family Clinic,13.49 km - Closing in 0 hr 52 min,445 Fajar Road #01-546 Fajar Shopping Centre,Singapore 670445,T +65 6762 2278
828,Allhealth Family Clinic,13.49 km - Closed,872C Tampines St 86 #01-01,Singapore 523872,T +65 6702 6467
829,Prohealth Medical Group @ Bukit Batok,13.5 km - Closing in 7 hr 22 min,4 Bukit Batok Street 41 Le Quest #01-76,Singapore 657991,T +65 6970 8330
830,Joyhealth Medical Clinic & Surgery,13.51 km - Closing in 2 hr 22 min,825 Tampines St 81 #01-50,Singapore 520825,T +65 6781 1868
831,Parkway Shenton Medical Group (Bukit Panjang Plaza),13.52 km - Closing in 2 hr 52 min,1 Jelebu Road #03-02 Bukit Panjang Plaza,Singapore 677743,T +65 6769 7863
832,Everhealth Family Clinic & Surgery,13.55 km - Closing in 5 hr 22 min,4 Bukit Batok Street 41 #01-88 Le Quest Mall,Singapore 657991,T +65 6793 3113
833,OneCare Clinic Bukit Panjang Bus Interchange,13.55 km - Closing in 0 hr 22 min,"15 Petir Rd, Integrated Transport Hub #01-66",Singapore 678270,T +65 6518 4055
834,Healthway Medical Clinic (Anchorvale),13.56 km - Closing in 2 hr 22 min,308 Anchorvale Road #01-03,Singapore 540308,T +65 6312 3106
835,Healthway Medical Clinic (Compassvale),13.57 km - Closing in 2 hr 22 min,267 Compassvale Link #01-04,Singapore 540267,T +65 6343 8770
836,The Olive Tree Family Clinic & Surgery,13.57 km - Closing in 2 hr 22 min,303 Anchorvale Link #01-02,Singapore 540303,T +65 6388 8697
837,Greenforest Family Clinic,13.57 km - Closed,878C Tampines Ave 8 #01-71,Singapore 523878,T +65 6785 0157
838,Acumed Medical Group (Yung Kuang),13.58 km - Closing in 6 hr 22 min,64 Yung Kuang Road #01-107/111,Singapore 610064,T +65 6265 6422 F +65 6266 2777
839,Drs Tang & Partners,13.58 km - Closing in 5 hr 52 min,64 Yung Kuang Road #01-115,Singapore 610064,T +65 6265 6077
840,HealthMed Family Clinic (Bukit Panjang),13.58 km - Closed,416 Saujana Road #01-50,Singapore 670416,T +65 6760 4321
841,Island Family Clinic (Sengkang),13.6 km - Closed,279 Sengkang East Avenue #01-05,Singapore 540279,T +65 6384 2759
842,S K Tay Clinic & Surgery,13.61 km - Closing in 1 hr 52 min,827 Tampines St 81 #01-140,Singapore 520827,T +65 6783 6611
843,OneCare Clinic Tampines,13.61 km - Closing in 0 hr 22 min,827 Tampines St 81 #01-142,Singapore 520827,T +65 6443 5938
844,Shenton Medical Group,13.61 km - Closed,2 Jurong Port Road,Singapore 619088,T +65 6319 6692 F +65 6261 8863
845,Adidah Family Clinic & Surgery,13.62 km - Closing in 1 hr 52 min,821 Tampines St 81 #01-210,Singapore 520821,T +65 6784 5435
846,"Doctors Koo, Loh & Associates (Pte) Ltd",13.63 km - Closing in 2 hr 22 min,Blk 152 Yung Ho Rd #B1-03,Singapore 610152,T +65 6266 5939
847,Drs Koo Loh & Associates (Pte) Ltd,13.63 km - Closing in 1 hr 52 min,152 Yung Ho Road #B1-03,Singapore 610152,T +65 6266 5939
848,Distinct Clinic Tanah Merah Branch,13.65 km - Closing in 1 hr 52 min,"3, Bedok South Avenue 3 #B1-02",Singapore 465462,T +65 6015 0791
849,Our Family Physician Clinic & Surgery,13.68 km - Closing in 9 hr 22 min,829 Tampines St 81 #01-292,Singapore 520829,T +65 6785 0147
850,Etern Medical Clinic (Fernvale Palm),13.68 km - Closed,432A Sengkang West Way #01-03 Fernvale Palm,Singapore 791432,T +65 6604 7224
851,Ler Clinic & Surgery,13.71 km - Closing in 1 hr 52 min,835 Tampines St 83 #01-10,Singapore 520835,T +65 6788 6279
852,Mutual Healthcare Medical Clinic (Compassvale),13.77 km - Closing in 1 hr 22 min,205A Compassvale Lane #01-53,Singapore 541205,T +65 6547 3593
853,Chia & Lee Medical & Dental Clinic,13.78 km - Closing in 1 hr 52 min,802 Tampines Ave 4 #01-15,Singapore 520802,T +65 6781 2969
854,SATA CommHealth Tampines Medical Centre,13.82 km - Closing in 2 hr 22 min,"5 Tampines Central 6 #01-01A, Telepark Building",Singapore 529482,T +65 6244 6688
855,Paddington Medical Clinic,13.83 km - Closing in 2 hr 22 min,300 Bedok Road,Singapore 469457,T +65 6980 2986
856,NuHealth Medical Centre,13.83 km - Closing in 1 hr 52 min,1 Woodlands Road #01-23 Junction 10,Singapore 677899,T +65 6219 9298
857,Parkway Shenton Medical Group,13.85 km - Closing in 2 hr 22 min,"801, Tampines Avenue 4, Tampines Polyview #01-261",Singapore 520801,T +65 6223 1309
858,Tzu Chi Free Health Screening and Medical Clinic,13.85 km - Closing in 2 hr 21 min,328 Jurong East St 31 #01-138,Singapore 600328,T +65 6569 2236
859,Koh Clinic & Surgery,13.85 km - Closing in 1 hr 51 min,801 Tampines Ave 4 #01-269,Singapore 520801,T +65 6782 2882
860,Tampines Medilife Clinic,13.85 km - Closing in 1 hr 51 min,801 Tampines Ave 4 #01-263,Singapore 520801,T +65 6782 5142
861,River of Life Family Clinic,13.87 km - Closed,26 Teck Whye Lane #01-190,Singapore 680026,T +65 6760 0501
862,Phoenix Clinic & Surgery,13.88 km - Closed,150 Jalan Teck Whye #01-43,Singapore 680150,T +65 6767 5345
863,Healthsprings Medical Clinic,13.9 km - Closing in 1 hr 21 min,524A Jelapang Road #02-01/02 Greenridge Shopping Centre,Singapore 671524,T +65 6892 6681
864,Bukit Panjang Family Clinic,13.9 km - Closing in 0 hr 51 min,524A Jelapang Road #02-13 Greenridge Shopping Centre,Singapore 671524,T +65 6763 6838
865,Chin Medical Clinic,13.9 km - Closing in 0 hr 51 min,524A Jelapang Road #02-02A Greenridge Shopping Centre,Singapore 671524,T +65 6468 8195
866,Lifecare Family Clinic,13.9 km - Closed,524A Jelapang Road #02-15 Greenridge Shopping Centre,Singapore 671524,T +65 6769 8588
867,Acumed Medical Group (Sengkang),13.91 km - Closed,215C Compassvale Drive #01-02,Singapore 543215,T +65 6385 0113
868,Prohealth Medical Group @ Taman Jurong,13.92 km - Closing in 7 hr 21 min,399 Yung Sheng Road #01-56 Taman Jurong Shopping Centre,Singapore 610399,T +65 6268 2628
869,Point Medical Group (Taman Jurong),13.92 km - Closing in 3 hr 21 min,399 Yung Sheng Road #01-31 Taman Jurong Shopping Centre,Singapore 610399,T +65 6265 6587
870,My Family Clinic (Segar),13.93 km - Closing in 1 hr 21 min,485 Segar Road #01-508,Singapore 670485,T +65 6710 7269
871,Senja Family Clinic,13.94 km - Closing in 1 hr 21 min,609 Bukit Panjang Ring Road #B1-908,Singapore 670609,T +65 6219 0688
872,Da Clinic @ Anchorvale,13.95 km - Closing in 6 hr 21 min,Blk 351 Anchorvale Road ##01-01,Singapore 540351,T +65 6954 1012
873,Mutual Healthcare Medical Clinic (Anchorvale),13.95 km - Closing in 1 hr 21 min,319B Anchorvale Drive #01-92,Singapore 542319,T +65 6489 3833
874,Little Cross Family Clinic,13.95 km - Closing in 0 hr 21 min,929 Tampines St 91 #01-445,Singapore 520929,T +65 6544 0040
875,OneCare Clinic Bukit Panjang,13.99 km - Closing in 0 hr 21 min,547 Segar Road #01-05,Singapore 670547,T +65 6250 8533
876,Seasons Clinic,14 km - Closing in 2 hr 21 min,844 Tampines St 82 #01-139,Singapore 520844,T +65 6787 7836
877,Central 24-Hr Clinic (Tampines),14.03 km - Open 24 Hrs,Blk 201D Tampines Street 21 ##01-1151,Singapore 524201,T +65 6343 7731 F +65 6343 6528
878,RafflesMedical,14.03 km - Closing in 9 hr 21 min,1 Tampines Street 73,Singapore 528704,T +65 6311 1111 F +65 6311 2390
879,Healthway Medical Clinic (Sengkang),14.03 km - Closing in 7 hr 21 min,118 Rivervale Drive #02-17 Rivervale Plaza,Singapore 540118,T +65 6881 2689
880,Lifeline Medical Group (Sengkang),14.03 km - Closing in 6 hr 21 min,118 Rivervale Drive #02-18 Rivervale Plaza,Singapore 540118,T +65 6881 2392 F +65 6881 2393
881,Rivervale Family Clinic & Surgery,14.03 km - Closing in 0 hr 21 min,118 Rivervale Drive #01-02 Rivervale Plaza,Singapore 540118,T +65 6388 9762
882,Karri Family Clinic,14.04 km - Closed,866A Tampines St 83 #03-05 Tampines Central Community Complex,Singapore 521866,T +65 6785 0311 F +65 8785 7511
883,Lin & Sons Clinic & Surgery,14.05 km - Closing in 1 hr 51 min,18 Teck Whye Lane #01-97,Singapore 680018,T +65 6769 0554
884,AE Medical Clinic,14.06 km - Closed,467B Fernvale Link #01-529,Singapore 792467,T +65 6816 2900
885,Nyam Family Clinic,14.07 km - Closing in 1 hr 21 min,296 Bedok Road,Singapore 469452,T +65 6446 0069
886,Island Family Clinic (Fernvale),14.1 km - Closed,473A Fernvale Street #01-03,Singapore 791473,T +65 6481 3740
887,Family Doctors at 365,14.13 km - Closing in 2 hr 6 min,365 Corporation Drive #01-407,Singapore 610365,T +65 6265 2968
888,Sunbeam Medical Clinic,14.14 km - Closed,318B Anchorvale Link #01-257 Anchorvale Gardens,Singapore 542318,T +65 6802 3642 F +65 6385 8982
889,My Family Clinic (Anchorvale),14.18 km - Closed,326A Anchorvale Road #01-260,Singapore 541326,T +65 6702 3963
890,Minmed Clinic (Sengkang),14.24 km - Closing in 6 hr 21 min,1 Sengkang Square #04-16 Compass One,Singapore 545078,T +65 6386 0123
891,RafflesMedical (Compass One),14.24 km - Closing in 2 hr 51 min,1 Sengkang Square #04-09 Compass One,Singapore 545078,T +65 6311 1111
892,My Family Clinic (Senja),14.24 km - Closed,628 Senja Road #01-04,Singapore 670628,T +65 6314 0638
893,Northeast Medical Group (Sengkang),14.25 km - Closing in 7 hr 21 min,5 Sengkang Square #01-05 Sengkang NEL Station,Singapore 545062,T +65 6875 5911
894,Onecare Clinic Choa Chu Kang,14.26 km - Closing in 0 hr 20 min,810 Choa Chu Kang Ave 7 #01-09,Singapore 680810,T +65 6766 6146
895,Shenton Clinic,14.31 km - Closing in 4 hr 50 min,498 Jurong West St 41 #01-464,Singapore 640498,T +65 6565 4442
896,Sunnyvale Clinic & Surgery,14.31 km - Closing in 4 hr 20 min,498 Jurong West St 41 #01-466,Singapore 640498,T +65 6567 0554
897,Praise Family Clinic,14.33 km - Closing in 1 hr 50 min,717 Tampines St 72 #01-75,Singapore 520717,T +65 6784 3785
898,Central 24-HR Clinic (Jurong West),14.35 km - Open 24 Hrs,492 Jurong West St 41 #01-54,Singapore 640492,T +65 6565 7484
899,EHA Clinic @ Jurong,14.35 km - Closing in 1 hr 50 min,Blk 492 Jurong West Street 41 ##01-40,Singapore 640492,T +65 6566 0257 F +65 6896 4173
900,Loi & Wong Clinic & Surgery,14.35 km - Closing in 0 hr 20 min,492 Jurong West St 41 #01-08,Singapore 640492,T +65 6562 6676
901,Royal Care Medical Family Clinic (CCK),14.4 km - Closed,818 Choa Chu Kang Ave 1 #01-13,Singapore 680818,T +65 9114 4993
902,My Doctor @ Lakeside,14.41 km - Closing in 5 hr 50 min,201 Boon Lay Way #01-05 Lakeside MRT Station,Singapore 649845,T +65 6265 7270
903,Tampines Family Medicine Clinic,14.42 km - Closing in 2 hr 20 min,1 Tampines Walk #03-34 Our Tampiness Hub,Singapore 528523,T +65 6702 6022
904,The People's Clinic,14.42 km - Closing in 1 hr 50 min,145 Teck Whye Ave #01-161,Singapore 680145,T +65 6769 3766
905,Medivene Clinic & Surgery,14.42 km - Closed,330 Anchorvale Street #01-05,Singapore 540330,T +65 6385 0441 F +65 6385 0442
906,Greenhealth Family Clinic,14.44 km - Closing in 1 hr 50 min,"138, Tampines Street 11 #01-142",Singapore 521138,T +65 6592 4458
907,Tampines Clinic & Surgery,14.44 km - Closing in 1 hr 50 min,139 Tampines St 11 #01-10,Singapore 521139,T +65 6781 0072
908,United Medical Practitioners Pte Ltd,14.44 km - Closing in 1 hr 50 min,139 Tampines St 11 #01-16,Singapore 521139,T +65 6781 2281
909,Street 11 Clinic,14.44 km - Closing in 1 hr 20 min,139 Tampines St 11 #01-18,Singapore 521139,T +65 6588 2139
910,Yang & Chin Medical & Dental Associates,14.44 km - Closed,139 Tampines St 11 #01-30,Singapore 521139,T +65 6781 9192
911,Crossroads Family Clinic,14.45 km - Closing in 1 hr 20 min,Blk 601B Tampines Ave 9  ##01-10,Singapore 522601,T +65 6592 7080 F +65 6592 7079
912,Chern Medical Clinic,14.47 km - Closing in 1 hr 20 min,138 Tampines St 11 #01-112,Singapore 521138,T +65 6781 0036
913,RC's Family Clinic Pte Ltd,14.47 km - Closing in 0 hr 20 min,635C Senja Road #Senja Gateway #01-03,Singapore 673635,T +65 6468 8006 F +65 6468 8004
914,PEAK Medical Clinic & Surgery,14.47 km - Closed,601B Tampines Avenue 9 #01-05,Singapore 522601,T +65 6513 6326
915,The Doctor's Clinic,14.5 km - Closing in 6 hr 50 min,429 Jurong West Ave 1 #01-318,Singapore 640429,T +65 6566 9901
916,Island Family Clinic (Keat Hong),14.54 km - Closed,803 Keat Hong Close #01-04,Singapore 680803,T +65 6891 0847
917,Pristine Medical Clinic,14.55 km - Closing in 8 hr 20 min,463 Jurong West St 41 #01-582,Singapore 640463,T +65 6569 3455
918,Shine Family Clinic,14.55 km - Closing in 2 hr 20 min,463 Jurong West St 41 #01-560,Singapore 640463,T +65 6563 7934
919,Harmony Family Clinic,14.55 km - Closing in 1 hr 50 min,235 Choa Chu Kang Central #B1-25,Singapore 680235,T +65 6762 3979
920,Healthway Tampines Clinic,14.56 km - Closing in 1 hr 50 min,710 Tampines St 71 #01-134,Singapore 520710,T +65 6260 9081
921,OneCare Clinic Keat Hong LRT,14.56 km - Closed,818 Choa Chu Kang Ave 1  #01-08,Singapore 680818,T +65 6970 0323
922,Healthmark Family Clinic (Compassvale),14.61 km - Closing in 1 hr 50 min,263 Compassvale Street #01-02/03,Singapore 540263,T +65 6881 0075
923,Icon Medical Clinic,14.62 km - Closed,517 Jurong West St 52 #01-101,Singapore 640517,T +65 6560 0521
924,Lakeside Family Medicine Clinic,14.65 km - Closing in 2 hr 50 min,518A Jurong West St 52 #01-02,Singapore 641518,T +65 6262 6434
925,Viva Medical Group,14.66 km - Closing in 1 hr 20 min,519A Tampines Central 8 #01-08,Singapore 521519,T +65 6635 7240
926,Evercare Medical Clinic,14.68 km - Closing in 1 hr 50 min,253 Choa Chu Kang Ave 1 #01-14A,Singapore 680253,T +65 6769 9655
927,Corporation Clinic (Choa Chu Kang),14.68 km - Closing in 1 hr 20 min,253 Choa Chu Kang Ave 1 #01-21,Singapore 680253,T +65 6764 3085
928,Island Family Clinic (Anchorvale),14.68 km - Closed,338 Anchorvale Crescent #01-02,Singapore 540338,T +65 6281 0174 F +65 9003 9246
929,Dayspring Medical Clinic (Tampines),14.71 km - Closing in 2 hr 20 min,2 Tampines Central 5 #B1-24 Century Square,Singapore 529509,T +65 6789 0123
930,Charis Clinic & Surgery,14.75 km - Closing in 1 hr 49 min,164 Tampines St 11 #01-295,Singapore 521164,T +65 6782 2332
931,Edgedale Medical Clinic (Tampines),14.76 km - Closed,614 Tampines North Drive 1 #01-01,Singapore 520614,T +65 6980 0440
932,Prohealth Medical Group @ Tampines,14.77 km - Closing in 7 hr 19 min,610 Tampines North Drive 1 #01-03,Singapore 520610,T +65 6970 7114 F +65 6970 7115
933,Pinnacle Family Clinic (Compassvale),14.78 km - Closing in 0 hr 19 min,Blk 289C Compassvale Crescent  #01-04,Singapore 543289,T +65 6386 1089
934,My Family Clinic (Rivervale),14.8 km - Closing in 7 hr 19 min,11 Rivervale Crescent #01-02B Rivervale Mall,Singapore 545082,T +65 6881 1978
935,RafflesMedical (Rivervale),14.8 km - Closing in 2 hr 49 min,11 Rivervale Crescent #02-17 Rivervale Mall,Singapore 545082,T +65 6385 2154
936,Faith Healthcare (Rivervale),14.8 km - Closing in 1 hr 49 min,11 Rivervale Crescent #02-15 Rivervale Mall,Singapore 545082,T +65 6315 7879
937,Northeast (Jurong West) Medical Centre,14.85 km - Closing in 8 hr 19 min,456 Jurong West St 41 #01-744,Singapore 640456,T +65 6563 0484
938,SATA Commhealth Medical Centre,14.86 km - Closing in 9 hr 19 min,500 Corporation Road #NKF Integrated Renal Centre #01-01,Singapore 649808,T +65 6244 6688 F +65 6244 3023
939,Q&M Medical & Aesthetic Clinic (Tampines One),14.87 km - Closing in 2 hr 19 min,"10, Tampines Central 1 #04-18/19",Singapore 529536,T +65 6781 3323
940,Northeast Medical Group (Tampines),14.88 km - Closing in 2 hr 19 min,20 Tampines Central 1 #01-25 Tampines MRT Station,Singapore 529538,T +65 6786 7848
941,OneCare Clinic Tampines MRT,14.88 km - Closing in 1 hr 19 min,20 Tampines Central 1 #01-27 Tampines MRT Station,Singapore 529538,T +65 6352 2639
942,Caring Family Clinic,14.89 km - Closing in 2 hr 19 min,501 Jurong West St 51 #01-271,Singapore 640501,T +65 6564 5677
943,Shifa Clinic Jurong,14.89 km - Closing in 1 hr 19 min,501 Jurong West St 51 #01-277,Singapore 640501,T +65 6469 8941
944,RCMC Rivervale Crescent Medical Centre,14.9 km - Closing in 6 hr 49 min,182A Rivervale Crescent #01-04,Singapore 541182,T +65 6886 0772 F +65 6886 0773
945,Kerry Medical,14.9 km - Closed,182 Jalan Jurong Kechil #01-65 The Hillford,Singapore 596152,T +65 6818 9945
946,JW Corporation Clinic,14.92 km - Closing in 1 hr 19 min,507 Jurong West St 52 #01-156,Singapore 640507,T +65 6564 6745
947,RafflesMedical (Tampines 1),14.93 km - Closing in 6 hr 49 min,10 Tampines Central 1 #03-28 Tampines One,Singapore 529536,T +65 6260 5116
948,Q & M Medical & Aesthetic Clinic (Tampines Central),14.93 km - Closing in 3 hr 19 min,10 Tampines Central 1 #04-18/19 Tampines One,Singapore 529536,T +65 6781 3323
949,Healthwerkz Medical Centre (CCK),14.95 km - Closed,225 Choa Chu Kang Central #01-199,Singapore 680225,T +65 6766 2827
950,Tayka Medical Family Clinic,14.96 km - Closing in 1 hr 19 min,526 Jurong West St 52 #01-323,Singapore 640526,T +65 6564 5528
951,TC Family Clinic,14.96 km - Closed,526 Jurong West St 52 #01-325,Singapore 640526,T +65 6566 6687
952,Bethesda Medcal @ Tampines,14.97 km - Closing in 2 hr 19 min,"Blk 406, Tampines Street 41 #01-31",Singapore 520406,T +65 6783 1806
953,Silver Cross Family Clinic (Jurong),15.01 km - Closing in 9 hr 19 min,502 Jurong West Ave 1 #01- 803,Singapore 640502,T +65 6899 2141
954,Idoc Clinic (Hong Kah) Pte Ltd,15.01 km - Closing in 3 hr 49 min,Blk 502 Jurong West Avenue 1 #01-813,Singapore 640502,T +65 6909 3485
955,Banyan Clinic @ JW,15.01 km - Closed,502 Jurong West Ave 1 #01-817,Singapore 640502,T +65 6899 1161
956,Chua Medical Centre,15.02 km - Closing in 3 hr 19 min,248 Simei St 3 #01-134,Singapore 520248,T +65 6785 3825
957,Simei Clinic & Surgery,15.02 km - Closing in 2 hr 19 min,248 Simei St 3 #01-132,Singapore 520248,T +65 6785 5021
958,Ruby Medical Centre,15.02 km - Closing in 1 hr 19 min,505 Tampines Central 1 #01-339,Singapore 520505,T +65 6783 7847
959,Simei Medical Centre,15.02 km - Closed,248 Simei St 3 #01-104,Singapore 520248,T +65 6781 4823
